[setup] method=GRPO model=Qwen3.5-4B mask=15 train=32 eval=32 world=4 global_batch=32 generations=8 max_steps=100 max_turns=45
[sampling] train_temperature=1.0 train_top_p=1.0 train_top_k=-1 eval_temperature=0.7 eval_top_p=0.8 eval_top_k=20
[optimization] learning_rate=1e-6 beta=0.001 clip=0.2 max_policy_examples_per_step=512 raw_policy_logprobs=true
[train] step=40 reward=0.074219 solved=19/256 avg_turns=15.4883 examples=3965 used=3584 drop=381 kl=0.070673 clip=0.033456 sec=1158.0
[train] step=41 reward=0.089844 solved=23/256 avg_turns=15.6016 examples=3994 used=3584 drop=410 kl=0.079999 clip=0.018609 sec=1160.3
[train] step=42 reward=0.140625 solved=36/256 avg_turns=15.5391 examples=3978 used=3584 drop=394 kl=0.076476 clip=0.021743 sec=1170.3
[train] step=43 reward=0.128906 solved=33/256 avg_turns=15.5430 examples=3979 used=3584 drop=395 kl=0.084468 clip=0.018435 sec=1163.9
[train] step=44 reward=0.214844 solved=55/256 avg_turns=15.3906 examples=3940 used=3584 drop=356 kl=0.095186 clip=0.019035 sec=1123.8
[train] step=45 reward=0.238281 solved=61/256 avg_turns=15.4258 examples=3949 used=3584 drop=365 kl=0.086860 clip=0.048828 sec=1135.0
[train] step=46 reward=0.218750 solved=56/256 avg_turns=15.3320 examples=3925 used=3584 drop=341 kl=0.084574 clip=0.036060 sec=1126.8
[train] step=47 reward=0.292969 solved=75/256 avg_turns=15.2773 examples=3911 used=3584 drop=327 kl=0.107284 clip=0.028365 sec=1130.1
[train] step=48 reward=0.277344 solved=71/256 avg_turns=15.3125 examples=3920 used=3584 drop=336 kl=0.083714 clip=0.014541 sec=1124.0
[train] step=49 reward=0.335938 solved=86/256 avg_turns=15.2500 examples=3904 used=3584 drop=320 kl=0.149995 clip=0.025050 sec=1114.4
[train] step=50 reward=0.367188 solved=94/256 avg_turns=15.2383 examples=3901 used=3584 drop=317 kl=0.110810 clip=0.018476 sec=1114.7
[train] step=51 reward=0.410156 solved=105/256 avg_turns=15.1836 examples=3887 used=3584 drop=303 kl=0.155108 clip=0.016074 sec=1095.6
[train] step=52 reward=0.371094 solved=95/256 avg_turns=15.1562 examples=3880 used=3584 drop=296 kl=0.180703 clip=0.020134 sec=1110.7
[train] step=53 reward=0.484375 solved=124/256 avg_turns=15.1641 examples=3882 used=3584 drop=298 kl=0.136271 clip=0.012214 sec=1117.9
[train] step=54 reward=0.476562 solved=122/256 avg_turns=15.2031 examples=3892 used=3584 drop=308 kl=0.145333 clip=0.010883 sec=1112.6
[train] step=55 reward=0.539062 solved=138/256 avg_turns=15.1680 examples=3883 used=3584 drop=299 kl=0.145747 clip=0.017898 sec=1122.6
[train] step=56 reward=0.535156 solved=137/256 avg_turns=15.1055 examples=3867 used=3584 drop=283 kl=0.135620 clip=0.021731 sec=1105.0
[train] step=57 reward=0.546875 solved=140/256 avg_turns=15.1523 examples=3879 used=3584 drop=295 kl=0.178639 clip=0.013565 sec=1108.7
[train] step=58 reward=0.566406 solved=145/256 avg_turns=15.1250 examples=3872 used=3584 drop=288 kl=0.183574 clip=0.023941 sec=1097.1
[train] step=59 reward=0.613281 solved=157/256 avg_turns=15.1719 examples=3884 used=3584 drop=300 kl=0.135584 clip=0.012992 sec=1111.2
[eval] step=60 repeats=3 solved_avg=11.33/32 average=0.354167 std=0.077951
[train] step=60 reward=0.593750 solved=152/256 avg_turns=15.1172 examples=3870 used=3584 drop=286 kl=0.181940 clip=0.013867 sec=1101.1
[train] step=61 reward=0.625000 solved=160/256 avg_turns=15.2227 examples=3897 used=3584 drop=313 kl=0.168982 clip=0.013833 sec=1103.1
[train] step=62 reward=0.605469 solved=155/256 avg_turns=15.1367 examples=3875 used=3584 drop=291 kl=0.159438 clip=0.014820 sec=1105.4
[train] step=63 reward=0.628906 solved=161/256 avg_turns=15.0977 examples=3865 used=3584 drop=281 kl=0.223097 clip=0.023925 sec=1097.0
